t(s),solute flux surface 6 (H s-1)
5e-07,-22836451.065779142
1.0500000000000001e-06,-274308879.1602396
1.6550000000000002e-06,-439910335.0991189
2.3205000000000005e-06,-576179189.9917736
3.0525500000000005e-06,-698792277.121443
3.857805000000001e-06,-814188042.3388463
4.743585500000001e-06,-925713136.4137539
5.717944050000001e-06,-1035389142.4193822
6.7897384550000015e-06,-1144572971.8401403
7.968712300500002e-06,-1254260924.9394963
9.265583530550003e-06,-1365211129.3575885
1.0692141883605004e-05,-1478047041.1121123
1.2261356071965505e-05,-1593300985.1919112
1.3987491679162057e-05,-1711444332.9888344
1.5886240847078263e-05,-1832907426.4969044
1.7974864931786093e-05,-1958093234.245293
2.0272351424964702e-05,-2087387042.2807643
2.2799586567461174e-05,-2221163556.7800045
2.5579545224207295e-05,-2359792271.330582
2.8637499746628025e-05,-2503641645.2492986
3.200124972129083e-05,-2653082453.307514
3.570137469341991e-05,-2808490550.7168703
3.9771512162761904e-05,-2970249221.729738
4.42486633790381e-05,-3138751228.301044
4.917352971694191e-05,-3314400633.289481
5.459088268863611e-05,-3497614425.555463
6.0549970957499724e-05,-3688823902.730647
6.71049680532497e-05,-3888475649.421509
7.431546485857468e-05,-4097031767.0424395
8.224701134443216e-05,-4314968766.396764
9.097171247887538e-05,-4542774254.977248
0.00010056888372676293,-25642638788.40938
0.00011112577209943924,-1569784547151.776
0.00012273834930938318,-19214741527546.855
0.0001355121842403215,-123511083851181.42
0.00014956340266435367,-489055880811459.94
0.00016501974293078905,-1312315520016808.8
0.00018202171722386795,-2730427275887966.5
0.00020072388894625478,-4870351969131625.0
0.00022129627784088027,-7855438373006376.0
0.00024392590562496833,-1.1817861095976542e+16
0.0002688184961874652,-1.6865711414011594e+16
0.0002962003458062117,-2.3065553392977508e+16
0.00032632038038683293,-3.042988382791593e+16
0.00035945241842551625,-3.892344712887668e+16
0.0003958976602680679,-4.848976935922125e+16
0.0004359874262948747,-5.9067622427678744e+16
0.00048008616892436225,-7.05778918132618e+16
0.0005285947858167985,-8.290359208161014e+16
0.0005726935284462861,-9.400504005381667e+16
0.0006127832944730929,-1.0386363506224182e+17
0.0006492285363156446,-1.1254811443067512e+17
0.0006823605743543279,-1.201668630474474e+17
0.000712480608934949,-1.2683962831953829e+17
0.0007398624585536955,-1.326830747236668e+17
0.0007647550491161924,-1.3780433369848354e+17
0.0007873846769002805,-1.4229875002562835e+17
0.0008079570657949061,-1.4624970495256595e+17
0.0008266592375172929,-1.4972939664486326e+17
0.0008436612118103719,-1.5280000069810144e+17
0.0008623633835327587,-1.56053430533392e+17
0.0008793653578258377,-1.5891423285074515e+17
0.0008980675295482245,-1.6193959278778912e+17
0.00091863991844285,-1.6511889953403418e+17
0.0009412695462269381,-1.684404909750725e+17
0.0009618419351215637,-1.7132881454024506e+17
0.0009805441068439504,-1.7385389566704483e+17
0.0010011164957385759,-1.765080086701547e+17
0.001023746123522664,-1.6172877035065162e+17
0.0010443185124172894,-1.3522507982488354e+17
0.0010669481402013775,-1.0571501336554155e+17
0.0010918407307638743,-7.780569143271024e+16
0.0011192225803826209,-5.396528991226311e+16
0.001149342614963242,-3.523605922109241e+16
0.0011824746530019253,-2.162888469613313e+16
0.001218919894844477,-1.2477018940760664e+16
0.0012590096608712836,-6777381425641998.0
0.001303108403500771,-3484229837877858.5
0.0013516170203932074,-1709716381682254.0
0.0014016170203932073,-847150261478657.8
0.0014516170203932072,-436499124833518.2
0.001501617020393207,-235028653800203.1
0.001551617020393207,-132609868609290.69
0.001601617020393207,-78482540117393.08
0.0016516170203932068,-48690105716014.36
0.0017016170203932068,-31601961513953.98
0.0017516170203932067,-21393286608727.85
0.0018016170203932066,-15049755430174.229
0.0018516170203932065,-10958241023821.732
0.0019016170203932064,-8225951122920.766
0.0019516170203932063,-6342128586711.897
0.0020016170203932065,-5005029808169.297
0.0020516170203932066,-4030811822082.6177
0.0021016170203932067,-3304139845680.055
0.002151617020393207,-2750638385891.106
0.002201617020393207,-2321095123461.7056
0.002251617020393207,-1982159467115.103
0.0023016170203932072,-1710714421266.1619
0.0023516170203932074,-1490438214932.2805
0.0024016170203932075,-1309550864304.7532
0.0024516170203932076,-1159419788068.8926
0.0025016170203932078,-1033615797533.5424
0.0025566170203932077,-917870344483.2369
0.002617117020393208,-812114200874.5161
0.0026836670203932078,-716162042783.0106
0.002756872020393208,-629712442857.3618
0.002837397520393208,-552362668970.3353
0.002925975570393208,-483627131789.7796
0.003023411425393208,-422956735083.73724
0.0031305908658932078,-369757797062.16113
0.0032484882504432077,-323409718508.93915
0.003378175373448208,-283280870945.1879
0.003520831208753708,-248747975257.88104
0.0036777526275897582,-219189831818.46786
0.0038503661883094132,-194015442191.47015
0.004040241105101034,-172665093779.04877
0.004249103513571817,-154615456529.19666
0.004478852162889678,-139383253315.78882
0.004731575677139325,-126527660866.5814
0.005009571542813937,-115651710876.80034
0.00531536699505601,-106402925135.70949
0.00565174199252229,-98473332459.1075
0.006021754489735198,-91598908290.77832
0.006428768236669398,-85558380307.43745
0.006876483358297018,-80171285996.66191
0.0073689699920874,-75295172947.55162
0.0078689699920874,-71126800458.38707
0.0083689699920874,-67539597597.401566
0.008868969992087401,-64399621262.9439
0.009368969992087401,-61615563717.045364
0.009868969992087402,-59122864962.19902
0.010368969992087402,-56874153588.4875
0.010868969992087403,-54833435425.308334
0.011368969992087403,-52972495530.17416
0.011868969992087404,-51268620146.9564
0.012368969992087404,-49703117415.71537
0.012868969992087404,-48260329855.08282
0.013368969992087405,-46926955532.658966
0.013868969992087405,-45691567168.89217
0.014368969992087406,-44544261135.7081
0.014868969992087406,-43476393853.94626
0.015368969992087407,-42480378567.558716
0.015868969992087405,-41549524974.42342
0.016368969992087406,-40677910112.20935
0.016868969992087406,-39860272640.96921
0.017368969992087407,-39091925070.28784
0.017868969992087407,-38368680053.73907
0.018368969992087408,-37686787924.11934
0.018868969992087408,-37042883358.69329
0.01936896999208741,-36433939562.11032
0.01986896999208741,-35857228709.73907
0.02036896999208741,-35310287652.974724
0.02086896999208741,-34790888080.96623
0.02136896999208741,-34297010480.115463
0.02186896999208741,-33826821346.688995
0.02236896999208741,-33378653197.990044
0.02286896999208741,-32950986999.788517
0.023368969992087412,-32542436686.435715
0.023868969992087413,-32151735498.37286
0.024368969992087413,-31777723901.756275
0.024868969992087413,-31419338888.40051
0.025368969992087414,-31075604482.39875
0.025868969992087414,-30745623303.575542
0.026368969992087415,-30428569058.1785
0.026868969992087415,-30123679844.457054
0.027368969992087416,-29830252175.54132
0.027868969992087416,-29547635634.705864
0.028368969992087417,-29275228088.999218
0.028868969992087417,-29012471396.60211
0.029368969992087417,-28758847551.410816
0.029868969992087418,-28513875215.337437
0.03036896999208742,-28277106594.94383
0.03086896999208742,-28048124624.275093
0.031368969992087416,-27826540420.36374
0.031868969992087416,-27611990981.887234
0.03236896999208742,-27404137104.940926
0.03286896999208742,-27202661492.943207
0.03336896999208742,-27007267040.350845
0.03386896999208742,-26817675272.1925
0.03436896999208742,-26633624923.477276
0.03486896999208742,-26454870644.3278
0.03536896999208742,-26281181818.26369
0.03586896999208742,-26112341482.448814
0.03636896999208742,-25948145339.941166
0.03686896999208742,-25788400855.053703
0.03736896999208742,-25632926423.892693
0.03786896999208742,-25481550612.982468
0.03836896999208742,-25334111459.61984
0.03886896999208742,-25190455828.271915
0.03936896999208742,-25050438817.90887
0.03986896999208742,-24913923215.68359
0.040368969992087424,-24780778992.83228
0.040868969992087424,-24650882839.08249
0.041368969992087425,-24524117732.217194
0.041868969992087425,-24400372539.77312
0.042368969992087425,-24279541650.14155
0.042868969992087426,-24161524630.59959
0.043368969992087426,-24046225910.034748
0.04386896999208743,-23933554484.334656
0.04436896999208743,-23823423642.598156
0.04486896999208743,-23715750712.495228
0.04536896999208743,-23610456823.254684
0.04586896999208743,-23507466684.890987
0.04636896999208743,-23406708382.40824
0.04686896999208743,-23308113183.8275
0.04736896999208743,-23211615360.98452
0.04786896999208743,-23117152022.133904
0.04836896999208743,-23024662955.479805
0.04886896999208743,-22934090482.82302
0.04936896999208743,-22845379322.585922
0.04986896999208743,-22758476461.534737
0.05036896999208743,-22673331034.57419
0.05086896999208743,-22589894212.040688
0.051368969992087433,-22508119093.964622
0.051868969992087434,-22427960610.816536
0.052368969992087434,-22349375430.28573
0.052868969992087435,-22272321869.679974
0.053368969992087435,-22196759813.56068
0.053868969992087436,-22122650636.26352
0.054368969992087436,-22049957128.97497
0.05486896999208744,-21978643431.06259
0.05536896999208744,-21908674965.38048
0.05586896999208744,-21840018377.288326
0.05636896999208744,-21772641477.143944
0.05686896999208744,-21706513186.046326
0.05736896999208744,-21641603484.620586
0.05786896999208744,-21577883364.65206
0.05836896999208744,-21515324783.39118
0.05886896999208744,-21453900620.36127
0.05936896999208744,-21393584636.513554
0.05986896999208744,-21334351435.586422
0.06036896999208744,-21276176427.531643
0.06086896999208744,-21219035793.884495
0.06136896999208744,-21162906454.957714
0.06186896999208744,-21107766038.752136
0.06236896999208744,-21053592851.480373
0.06286896999208744,-21000365849.608524
0.06336896999208744,-20948064613.325844
0.06386896999208744,-20896669321.360855
0.06436896999208744,-20846160727.062744
0.06486896999208744,-20796520135.67808
0.06536896999208744,-20747729382.751724
0.06586896999208744,-20699770813.589108
0.06636896999208744,-20652627263.720432
0.06686896999208744,-20606282040.30828
0.06736896999208744,-20560718904.44778
0.06786896999208744,-20515922054.308838
0.06836896999208744,-20471876109.074215
0.06886896999208744,-20428566093.629032
0.06936896999208744,-20385977423.96152
0.06986896999208744,-20344095893.236454
0.07036896999208744,-20302907658.503468
0.07086896999208744,-20262399228.008896
0.07136896999208744,-20222557449.07621
0.07186896999208744,-20183369496.52691
0.07236896999208745,-20144822861.6123
0.07286896999208745,-20106905341.430332
0.07336896999208745,-20069605028.8015
0.07386896999208745,-20032910302.580505
0.07436896999208745,-19996809818.3813
0.07486896999208745,-19961292499.694336
