t(s),solute flux surface 1 (H m-2 s-1)
1e-06,-1598630328051.711
2.1000000000000002e-06,-35186365712815.03
3.3100000000000005e-06,-54495433098568.6
4.641000000000001e-06,-70082768089627.734
6.105100000000001e-06,-84028861167640.97
7.715610000000002e-06,-97120724209160.03
9.487171000000002e-06,-109755569964200.48
1.1435888100000002e-05,-122169864333285.9
1.3579476910000003e-05,-134520930095202.0
1.5937424601000003e-05,-146922457643538.34
1.8531167061100006e-05,-159462158254403.97
2.1384283767210007e-05,-172211423358986.9
2.452271214393101e-05,-185231010496911.5
2.7974983358324114e-05,-198574590888942.12
3.177248169415653e-05,-212291071879873.28
3.5949729863572185e-05,-226426181179497.22
4.0544702849929404e-05,-241023587521413.97
4.5544702849929404e-05,-255971591828802.44
5.05447028499294e-05,-270126913751732.6
5.55447028499294e-05,-283600542326422.3
6.05447028499294e-05,-296480271613861.9
6.55447028499294e-05,-308836857704294.8
7.05447028499294e-05,-320728249860442.06
7.55447028499294e-05,-332202576096871.06
8.05447028499294e-05,-343300299316924.94
8.55447028499294e-05,-354055806674869.8
9.05447028499294e-05,-364498602668715.7
9.55447028499294e-05,-374654538242175.6
0.0001005447028499294,-988760800264653.0
0.0001055447028499294,-3943658863708910.5
0.0001105447028499294,-1.0742208890598742e+16
0.0001155447028499294,-2.39575479415449e+16
0.0001205447028499294,-4.705131674760221e+16
0.0001255447028499294,-8.459467719922394e+16
0.00013054470284992942,-1.4248424070473027e+17
0.00013554470284992944,-2.28179331900631e+17
0.00014054470284992945,-3.509628216698836e+17
0.00014554470284992946,-5.2222555267550534e+17
0.00015054470284992948,-7.557797246846348e+17
0.0001555447028499295,-1.0681938847466253e+18
0.0001605447028499295,-1.4791571302745708e+18
0.00016554470284992951,-2.0118691014824087e+18
0.00017054470284992953,-2.6934558808034017e+18
0.00017554470284992954,-3.555410506086979e+18
0.00018054470284992955,-4.634055818757916e+18
0.00018554470284992957,-5.971026032328501e+18
0.00019054470284992958,-7.613761657418053e+18
0.0001955447028499296,-9.616010146614247e+18
0.0002005447028499296,-1.2038321747712162e+19
0.00020554470284992962,-1.4945855724055972e+19
0.00021054470284992963,-1.841329102311403e+19
0.00021554470284992965,-2.252288327227415e+19
0.00022054470284992966,-2.7364903673270227e+19
0.00022554470284992967,-3.3037767956757803e+19
0.00023054470284992969,-3.964798134166843e+19
0.0002355447028499297,-4.730986120281055e+19
0.0002405447028499297,-5.614498553266375e+19
0.0002455447028499297,-6.62813107837688e+19
0.00025054470284992974,-7.78519028734438e+19
0.00025554470284992975,-9.099323105676637e+19
0.00026054470284992976,-1.0584298804127906e+20
0.0002655447028499298,-1.2253742283057701e+20
0.0002705447028499298,-1.4120820705874816e+20
0.0002755447028499298,-1.6197890121905917e+20
0.0002805447028499298,-1.849611427824879e+20
0.00028554470284992983,-2.1025073957360756e+20
0.00029054470284992984,-2.3792391187131643e+20
0.00029554470284992986,-2.6803397820077982e+20
0.00030054470284992987,-3.0060880103316914e+20
0.0003055447028499299,-3.3564930714794865e+20
0.0003105447028499299,-3.73129342074804e+20
0.0003155447028499299,-4.129970227968127e+20
